market,model,RMSE,DM_vs_RW,DM_p
ASX200,HAR,0.0663106516799153,-4.201881731063328,2.647054244531155e-05
ASX200,LSTM-vol,0.0709967959088247,-1.4985768773218402,0.1339834350121691
BTC,HAR,0.197275560573215,-3.365581353199347,0.0007638253946924
BTC,LSTM-vol,0.1959453345001934,-2.928660142187552,0.0034042641844629
Bovespa,HAR,0.068556941116625,-5.098071772681962,3.43130727831209e-07
Bovespa,LSTM-vol,0.0719382557509612,-2.3597254553079074,0.0182884642119378
DAX,HAR,0.0762174056502635,-4.678948811488222,2.883494127692288e-06
DAX,LSTM-vol,0.0815425752229919,-2.599632478593858,0.0093323648828014
DSE,HAR,0.0602185798326142,-3.6431410232352217,0.0002693311789392
DSE,LSTM-vol,0.0830112400980894,2.887199645769062,0.00388687511304
ETH,HAR,0.2966794581492171,-6.712841235102719,1.9087176283960616e-11
ETH,LSTM-vol,0.2946118201794236,-5.735870158201571,9.701296432851336e-09
FTSE100,HAR,0.0621439863245861,-3.060580355253879,0.0022090847406306
FTSE100,LSTM-vol,0.0650740672158319,-1.832335863612559,0.0669013970473819
KOSPI,HAR,0.2106810488844861,-3.8383631679861945,0.0001238572030508
KOSPI,LSTM-vol,0.2413890077225315,-0.931222085938617,0.3517386955318105
MexIPC,HAR,0.0843937279393294,-6.93428444006591,4.082734150756551e-12
MexIPC,LSTM-vol,0.0829408922357782,-6.098612936347723,1.0699279240355963e-09
NASDAQ,HAR,0.1067722364752398,-2.81613054595857,0.0048605911665879
NASDAQ,LSTM-vol,0.1092950942055625,-1.864374615443508,0.0622691150983274
Nifty50,HAR,0.0760968250422965,-3.457337583617224,0.0005455409781487
Nifty50,LSTM-vol,0.0872458130101051,-0.5431715956493168,0.5870116614850895
Nikkei,HAR,0.1594793277262967,-2.7875561823256625,0.0053107244742807
Nikkei,LSTM-vol,0.1624735882357846,-2.350258026832346,0.0187604010598105
SP500,HAR,0.0850056126175893,-2.614072663527225,0.0089470006074916
SP500,LSTM-vol,0.0936109384484748,-0.7867340100122877,0.4314375905121164
Vietnam,HAR,0.1403797831706127,-2.336926330834674,0.01944301496161
Vietnam,LSTM-vol,0.1450126410837192,-1.869586597188182,0.0615412479054175
